Rank,Player,Team,Position,Points,Games,Avg,Teams
486,Dez Fitzpatrick,TEN,WR,10.9,3,3.6,TEN
488,Eric Saubert,DEN,TE,10.7,10,1.1,"ATL, CHI, JAC, DEN"
489,Antony Auclair,HOU,TE,10.7,4,2.7,"TB, HOU"
490,Kylen Granson,IND,TE,10.6,10,1.1,IND
491,Collin Johnson,NYG,WR,10.5,8,1.3,"JAC, NYG"
492,Tommy Sweeney,BUF,TE,10.4,7,1.5,BUF
493,Trinity Benson,DET,WR,10.3,7,1.5,"DEN, DET"
494,Shi Smith,CAR,WR,10.1,5,2,CAR
494,Chris Hogan,NO,WR,10.1,5,2,"BUF, NE, CAR, NYJ, NO"
496,Chris Herndon IV,MIN,TE,10,6,1.7,"NYJ, MIN"
497,Auden Tate,CIN,WR,9.9,4,2.5,CIN
497,Nick Mullens,CLE,QB,9.9,1,9.9,"SF, CLE"
499,Blake Bell,KC,TE,9.7,12,0.8,"SF, MIN, JAC, KC, DAL"
500,Ryquell Armstead,JAC,RB,9.6,2,4.8,JAC
500,Noah Gray,KC,TE,9.6,7,1.4,KC
502,Josh Gordon,KC,WR,9.2,9,1,"CLE, NE, SEA, KC"
503,Mitchell Trubisky,BUF,QB,9.1,5,1.8,"CHI, BUF"
504,Deon Jackson,IND,RB,9.1,5,1.8,IND
505,Cameron Batson,TEN,WR,9,4,2.3,TEN
506,Andy Janovich,CLE,RB,8.9,6,1.5,"DEN, CLE"
506,JaQuan Hardy,DAL,RB,8.9,2,4.5,DAL
508,Keith Smith,ATL,RB,8.7,13,0.7,"DAL, LV, ATL"
508,Sean McKeon,DAL,TE,8.7,5,1.7,DAL
510,Anthony Miller,PIT,WR,8.5,3,2.8,"CHI, PIT"
511,Alex Armah Jr.,WAS,RB,8.2,10,0.8,"CAR, WAS"
511,Tyree Jackson,PHI,TE,8.2,3,2.7,PHI
513,Drew Sample,CIN,TE,8.1,10,0.8,CIN
513,Dezmon Patmon,IND,WR,8.1,4,2,IND
515,Kyle Allen,WAS,QB,7.9,2,4,"CAR, WAS"
516,Preston Williams,MIA,WR,7.8,6,1.3,MIA
517,Garrett Gilbert,WAS,QB,7.8,1,7.8,"CAR, CLE, DAL, WAS"
518,Chris Myarick,NYG,TE,7.7,5,1.5,"MIA, CIN"
519,Andre Roberts,LAC,WR,7.4,16,0.5,"ARI, WAS, DET, ATL, NYJ, BUF, LAC"
520,KJ Hamler,DEN,WR,7.4,3,2.5,DEN
521,Johnny Stanton,CLE,RB,7.2,3,2.4,"MIN, CLE"
522,Dede Westbrook,MIN,WR,6.8,15,0.5,"JAC, MIN"
523,Jonathan Ward,ARI,RB,6.7,9,0.7,ARI
524,Josh Oliver,BAL,TE,6.6,11,0.6,"JAC, BAL"
525,Ito Smith,DAL,RB,6.4,1,6.4,"ATL, DAL"
525,Dax Milne,WAS,WR,6.4,9,0.7,WAS
527,Ja'Marcus Bradley,CLE,WR,6.4,4,1.6,CLE
528,Brandon Powell,LAR,WR,6,6,1,"DET, ATL, LAR"
529,Penny Hart,SEA,WR,5.9,12,0.5,SEA
530,Mike Boone,DEN,RB,5.7,3,1.9,"MIN, DEN"
530,C.J. Board,NYG,WR,5.7,6,1,"JAC, NYG"
532,Amari Rodgers,GB,WR,5.6,16,0.4,GB
532,Luke Farrell,JAC,TE,5.6,9,0.6,JAC
532,Jason Moore Jr.,LAC,WR,5.6,1,5.6,LAC
535,Alex Erickson,CAR,WR,5.5,17,0.3,"CIN, CAR"
535,Trayveon Williams,CIN,RB,5.5,4,1.4,CIN
537,Jaelon Darden,TB,WR,5.4,9,0.6,TB
538,Mike Thomas,CIN,WR,5.2,7,0.7,"WAS, LAC"
539,Charlie Woerner,SF,TE,5.2,8,0.7,SF
540,Jason Huntley,PHI,RB,5.1,1,5.1,PHI
541,Josh Lambo,JAC,K,5,3,1.7,"LAC, JAC, PIT"
