Rank,Player,Team,Position,Points,Games,Avg,Teams,Age,Height,College,Years in NFL
147,Dallas Goedert,PHI,TE,109,15,7.3,PHI,27, 6-5,South Dakota State,4
148,Kyle Pitts,ATL,TE,108.6,17,6.4,ATL,21, 6-6,Florida,0
149,K.J. Osborn,MIN,WR,108.5,17,6.4,MIN,24, 5-11,Miami,2
151,Saquon Barkley,NYG,RB,107.6,14,7.7,NYG,25, 6-0,Penn State,4
151,Chase Claypool,PIT,WR,107.6,15,7.2,PIT,23, 6-4,Notre Dame,2
153,Marvin Jones Jr.,JAC,WR,107.2,17,6.3,"CIN, DET, JAC",32, 6-2,California,10
154,Zach Ertz,ARI,TE,106.7,17,6.3,"PHI, ARI",31, 6-5,Stanford,9
155,Marquez Callaway,NO,WR,105.8,17,6.2,NO,23, 6-2,Tennessee,2
156,DeAndre Hopkins,ARI,WR,105.2,10,10.5,"HOU, ARI",29, 6-1,Clemson,8
158,Devontae Booker,NYG,RB,104.1,16,6.5,"DEN, LV, NYG",29, 5-11,Utah,7
159,Jason Myers,SEA,K,104,17,6.1,"JAC, NYJ, SEA",30, 5-10,Marist,7
161,Tim Patrick,DEN,WR,103.4,16,6.5,DEN,28, 6-4,Utah,4
162,Jakobi Meyers,NE,WR,103.3,16,6.5,NE,25, 6-2,N.C. State,3
163,A.J. Green,ARI,WR,102.8,16,6.4,"CIN, ARI",33, 6-4,Georgia,11
163,Cedrick Wilson Jr.,DAL,WR,102.8,14,7.3,"SF, PIT",26, 5-10,Tennessee,7
165,Allen Lazard,GB,WR,102.5,14,7.3,GB,26, 6-5,Iowa State,3
166,Michael Badgley,IND,K,102,13,7.9,"LAC, IND",26, 5-10,Miami,4
167,Rhamondre Stevenson,NE,RB,100.9,12,8.4,NE,24, 6-0,Oklahoma,0
168,Chase Edmonds,ARI,RB,100.3,12,8.4,ARI,25, 5-9,Fordham,4
169,Joey Slye,WAS,K,100,12,8.3,"CAR, WAS",25, 5-11,Virginia Tech,3
170,Zane Gonzalez,CAR,K,98,12,8.2,"CLE, ARI, CAR",26, 6-0,Arizona State,5
171,Clyde Edwards-Helaire,KC,RB,97.5,10,9.8,KC,22, 5-8,LSU,2
172,Russell Gage,ATL,WR,97,13,7.5,ATL,26, 6-0,LSU,4
173,Elijah Moore,NYJ,WR,95.2,11,8.7,NYJ,21, 5-10,Mississippi,0
175,Mike Davis,ATL,RB,94.2,17,5.5,"SF, SEA, CAR, ATL",29, 5-9,South Carolina,7
176,Alexander Mattison,MIN,RB,93.9,16,5.9,MIN,23, 5-11,Boise State,3
177,Jamaal Williams,DET,RB,93.8,13,7.2,"GB, DET",26, 6-0,BYU,5
178,Latavius Murray,BAL,RB,93.6,14,6.7,"LV, MIN, NO, BAL",32, 6-3,UCF,9
179,Trevor Siemian,NO,QB,93.2,6,15.5,"DEN, MIN, NYJ, NO",30, 6-3,Northwestern,6
180,Andy Dalton,CHI,QB,93.1,8,11.6,"CIN, DAL, CHI",34, 6-2,TCU,11
181,Chase McLaughlin,CLE,K,93,16,5.8,"IND, NYJ, CLE",25, 6-0,Illinois,3
182,Courtland Sutton,DEN,WR,92.2,17,5.4,DEN,26, 6-4,SMU,4
183,Robert Woods,LAR,WR,92.2,9,10.2,"BUF, LAR",29, 6-0,USC,9
184,Mike Gesicki,MIA,TE,92,17,5.4,MIA,26, 6-6,Penn State,4
186,Pat Freiermuth,PIT,TE,91.7,16,5.7,PIT,23, 6-5,Penn State,0
187,Cam Newton,CAR,QB,91.3,8,11.4,"CAR, NE",32, 6-5,Auburn,11
188,Miles Sanders,PHI,RB,91.2,12,7.6,PHI,24, 5-11,Penn State,3
189,Noah Fant,DEN,TE,91,16,5.7,DEN,24, 6-4,Iowa,3
190,Gabriel Davis,BUF,WR,90.9,15,6.1,BUF,23, 6-2,UCF,2
191,Christian McCaffrey,CAR,RB,90.5,7,12.9,CAR,25, 5-11,Stanford,5
192,Kenneth Gainwell,PHI,RB,90.4,16,5.7,PHI,23, 5-9,Memphis,0
193,Emmanuel Sanders,BUF,WR,89.7,14,6.4,"PIT, DEN, SF, NO, BUF",35, 5-11,SMU,12
195,Kareem Hunt,CLE,RB,88,8,11,"KC, CLE",26, 5-11,Toledo,5
196,Matthew Wright,JAC,K,87,14,6.2,"PIT, JAC",25, 5-11,UCF,1
198,Tyrod Taylor,HOU,QB,86.7,6,14.5,"BAL, BUF, CLE, LAC, HOU",32, 6-1,Virginia Tech,11
198,Tyler Huntley,BAL,QB,86.7,7,12.4,BAL,24, 6-1,Utah,1
200,Tyler Higbee,LAR,TE,86,15,5.7,LAR,29, 6-6,Western Kentucky,6
202,Boston Scott,PHI,RB,85.6,11,7.8,PHI,26, 5-6,Louisiana Tech,3
203,Robby Anderson,CAR,WR,85.5,17,5,"NYJ, CAR",28, 6-3,Temple,6
